Title: High-cadence Optical Observations of a Normal Type Ia SN 2018kp from its Early Phase
Authors: Lim G., Choi C., Im M., Yoon S.-C., Paek G.S.H., Kim S., Kim J., Sung H.-I., 
         Jeong M., Park B., Paek I., Lee S.-K., Kim Y., Yoon Y., Taak Y.C., Pak S., 
         Ji T.-G., Ahn H., Kang W., Kim T., Ehgamberdiev S., Burhonov O., Mirzaqulov D.
Table: Optical light curve of SN 2018kp without any extinction correction ranging from -32.8 to -5.4 days from B maximum.
================================================================================
Byte-by-byte Description of file: v58n1p031_Table1.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1-11  A11    ---    UT Date   UT Date in 2018
13-21  F9.3   d6     MJD       [58126.31/58283.43] Epoch in Modified Julian
                              date; JD-2400000.5
23-28  F6.2   d      Phase     [-32.85/124.27] Days after the epoch of B-band
                              maximum; t - MJD 58151.161
   30  A1     ---    Filter    Observed band
32-36  F5.2   mag    Mag       [15.78/20.63] AB magnitude without reddening
                              corrections. If Detection = N, the values
                              represents the 5-sigma detection limit.
38-43  F6.2   mag    Magerr    [-99.0/0.39] 1-sigma magnitude error
45-61  A17    ---    Telescope Telescope used for the observation
Apr 10.5417 58218.542  59.38 r 18.18   0.04 LSGT 0.43m        Y
Apr 10.5484 58218.548  59.39 i 18.24   0.09 LSGT 0.43m        Y
Apr 11.1404 58219.140  59.98 V 18.61   0.08 LOAO 1.0m         Y
Apr 11.1431 58219.143  59.98 R 18.10   0.05 LOAO 1.0m         Y
Apr 11.2979 58219.298  60.14 R 18.18   0.07 McD 0.8m          Y
Apr 11.5434 58219.543  60.38 r 18.24   0.04 LSGT 0.43m        Y
Apr 11.5470 58219.547  60.39 B 19.80   0.11 DOAO 1.0m         Y
Apr 11.5494 58219.549  60.39 V 18.58   0.05 DOAO 1.0m         Y
Apr 11.5500 58219.550  60.39 i 18.30   0.08 LSGT 0.43m        Y
Apr 11.5518 58219.552  60.39 R 18.15   0.03 DOAO 1.0m         Y
Apr 12.2284 58220.228  61.07 V 18.59   0.07 LOAO 1.0m         Y
Apr 12.2321 58220.232  61.07 R 18.18   0.04 LOAO 1.0m         Y
Apr 12.2363 58220.236  61.08 I 18.22   0.05 LOAO 1.0m         Y
Apr 12.5393 58220.539  61.38 g 19.46   0.10 LSGT 0.43m        Y
Apr 12.5464 58220.546  61.39 r 18.25   0.04 LSGT 0.43m        Y
Apr 12.5534 58220.553  61.39 i 18.24   0.07 LSGT 0.43m        Y
Apr 13.3004 58221.300  62.14 R 18.25   0.08 LOAO 1.0m         Y
Apr 14.1237 58222.124  62.96 V 18.70   0.09 LOAO 1.0m         Y
Apr 14.1265 58222.127  62.97 R 18.27   0.04 LOAO 1.0m         Y
Apr 14.3094 58222.309  63.15 R 18.22   0.08 McD 0.8m          Y
Apr 14.6051 58222.605  63.44 g 19.46   0.12 LSGT 0.43m        Y
Apr 15.1231 58223.123  63.96 V 18.49   0.08 LOAO 1.0m         Y
Apr 15.1261 58223.126  63.97 R 18.22   0.04 LOAO 1.0m         Y
Apr 15.1657 58223.166  64.00 R 18.29   0.06 McD 0.8m          Y
Apr 15.5455 58223.545  64.38 g 19.38   0.11 LSGT 0.43m        Y
Apr 15.5527 58223.553  64.39 r 18.38   0.04 LSGT 0.43m        Y
Apr 15.5597 58223.560  64.40 i 18.46   0.10 LSGT 0.43m        Y
Apr 16.2695 58224.269  65.11 R 18.18   0.07 McD 0.8m          Y
Apr 16.2991 58224.299  65.14 V 18.87   0.08 LOAO 1.0m         Y
Apr 16.3018 58224.302  65.14 R 18.28   0.05 LOAO 1.0m         Y
Apr 16.5432 58224.543  65.38 g 19.40   0.10 LSGT 0.43m        Y
Apr 16.5502 58224.550  65.39 r 18.35   0.04 LSGT 0.43m        Y
Apr 16.5573 58224.557  65.40 i 18.43   0.11 LSGT 0.43m        Y
Apr 17.6165 58225.617  66.46 R 18.29   0.04 DOAO 1.0m         Y
Apr 18.1248 58226.125  66.96 V 18.70   0.10 LOAO 1.0m         Y
Apr 18.1276 58226.128  66.97 R 18.31   0.05 LOAO 1.0m         Y
Apr 18.6484 58226.648  67.49 R 18.30   0.04 DOAO 1.0m         Y
Apr 19.1233 58227.123  67.96 V 18.74   0.10 LOAO 1.0m         Y
Apr 19.1263 58227.126  67.97 R 18.25   0.04 LOAO 1.0m         Y
Apr 19.6198 58227.620  68.46 R 18.34   0.04 DOAO 1.0m         Y
Apr 20.1259 58228.126  68.96 R 18.43   0.06 LOAO 1.0m         Y
Apr 20.1289 58228.129  68.97 I 18.37   0.07 LOAO 1.0m         Y
Apr 20.5357 58228.536  69.37 g 19.57   0.12 LSGT 0.43m        Y
Apr 20.5423 58228.542  69.38 r 18.37   0.04 LSGT 0.43m        Y
Apr 20.5490 58228.549  69.39 i 18.81   0.12 LSGT 0.43m        Y
Apr 20.6258 58228.626  69.46 R 18.39   0.04 DOAO 1.0m         Y
Apr 21.5357 58229.536  70.37 g 19.60   0.12 LSGT 0.43m        Y
Apr 21.5423 58229.542  70.38 r 18.52   0.05 LSGT 0.43m        Y
Apr 21.5490 58229.549  70.39 i 18.66   0.11 LSGT 0.43m        Y
Apr 21.6876 58229.688  70.53 B 20.08   0.18 MAO 1.5m (SNUCAM) Y
Apr 21.6904 58229.690  70.53 R 18.47   0.02 MAO 1.5m (SNUCAM) Y
Apr 22.5377 58230.538  71.38 g 19.86   0.18 LSGT 0.43m        Y
Apr 22.5448 58230.545  71.38 r 18.56   0.07 LSGT 0.43m        Y
Apr 23.7324 58231.732  72.57 V 18.62   0.21 WIT 0.25m         Y
Apr 24.1694 58232.169  73.01 V 18.83   0.19 WIT 0.25m         Y
Apr 24.1798 58232.180  73.02 R 18.41   0.14 McD 0.8m          Y
Apr 27.6779 58235.678  76.52 R 18.65   0.03 MAO 1.5m (SNUCAM) Y
Apr 29.2956 58237.296  78.13 V 19.01   0.26 LOAO 1.0m         Y
Apr 29.2983 58237.298  78.14 R 18.78   0.17 LOAO 1.0m         Y
May 4.5348  58242.535  83.37 r 18.78   0.20 LSGT 0.43m        Y
May 5.5217  58243.522  84.36 r 18.78   0.10 LSGT 0.43m        Y
May 5.5272  58243.527  84.37 i 19.14   0.23 LSGT 0.43m        Y
May 6.5217  58244.522  85.36 r 19.02   0.16 LSGT 0.43m        Y
May 7.5318  58245.532  86.37 g 19.77   0.15 LSGT 0.43m        Y
May 7.5385  58245.538  86.38 r 19.05   0.08 LSGT 0.43m        Y
May 7.5441  58245.544  86.38 i 18.96   0.16 LSGT 0.43m        Y
May 9.5111  58247.511  88.35 g 19.81   0.17 LSGT 0.43m        Y
May 9.5182  58247.518  88.36 r 19.18   0.08 LSGT 0.43m        Y
May 9.5239  58247.524  88.36 i 19.21   0.17 LSGT 0.43m        Y
May 10.2381 58248.238  89.08 R 19.00   0.14 McD 0.8m          Y
May 10.5123 58248.512  89.35 g 19.76   0.14 LSGT 0.43m        Y
May 12.2607 58250.261  91.10 V 19.42   0.16 WIT 0.25m         Y
May 12.2611 58250.261  91.10 R 19.14   0.13 McD 0.8m          Y
May 15.2768 58253.277  94.12 V 19.64   0.20 LOAO 1.0m         Y
May 15.2795 58253.279  94.12 R 18.95   0.09 LOAO 1.0m         Y
May 16.1456 58254.146  94.98 V 19.28   0.12 LOAO 1.0m         Y
May 16.1483 58254.148  94.99 R 19.06   0.08 LOAO 1.0m         Y
May 16.4953 58254.495  95.33 g 20.06   0.22 LSGT 0.43m        Y
May 16.5020 58254.502  95.34 r 19.34   0.11 LSGT 0.43m        Y
May 17.1407 58255.141  95.98 V 19.49   0.18 LOAO 1.0m         Y
May 17.1434 58255.143  95.98 R 19.14   0.08 LOAO 1.0m         Y
May 17.4962 58255.496  96.34 g 19.96   0.18 LSGT 0.43m        Y
May 17.5032 58255.503  96.34 r 19.29   0.12 LSGT 0.43m        Y
May 18.1406 58256.141  96.98 V 19.24   0.15 LOAO 1.0m         Y
May 18.1433 58256.143  96.98 R 19.08   0.08 LOAO 1.0m         Y
May 18.4968 58256.497  97.34 g 19.85   0.21 LSGT 0.43m        Y
May 19.1507 58257.151  97.99 R 19.23   0.08 LOAO 1.0m         Y
May 19.4993 58257.499  98.34 g 20.00   0.22 LSGT 0.43m        Y
May 19.5062 58257.506  98.35 r 19.43   0.16 LSGT 0.43m        Y
May 20.1530 58258.153  98.99 V 19.56   0.15 LOAO 1.0m         Y
May 20.1557 58258.156  98.99 R 19.13   0.10 LOAO 1.0m         Y
May 20.2334 58258.233  99.07 R 19.01   0.16 McD 0.8m          Y
May 21.1444 58259.144  99.98 V 19.25   0.15 LOAO 1.0m         Y
May 21.1471 58259.147  99.99 R 19.34   0.12 LOAO 1.0m         Y
May 30.2122 58268.212 109.05 I 19.73   0.28 LOAO 1.0m         Y
May 31.1512 58269.151 109.99 V 19.74   0.23 LOAO 1.0m         Y
Jun 1.1488  58270.149 110.99 V 19.23   0.22 LOAO 1.0m         Y
Jun 1.1515  58270.151 110.99 R 19.42   0.17 LOAO 1.0m         Y
Jun 2.2114  58271.211 112.05 V 19.50   0.17 LOAO 1.0m         Y
Jun 3.2311  58272.231 113.07 V 19.54   0.18 LOAO 1.0m         Y
Jun 3.2338  58272.234 113.07 R 19.53   0.18 LOAO 1.0m         Y
Jun 4.1839  58273.184 114.02 V 19.87   0.21 LOAO 1.0m         Y
Jun 4.1867  58273.187 114.03 R 19.62   0.15 LOAO 1.0m         Y
Jun 6.2125  58275.212 116.05 V 19.59   0.19 LOAO 1.0m         Y
Jun 7.1611  58276.161 117.00 V 19.58   0.18 LOAO 1.0m         Y
Jun 8.1852  58277.185 118.02 V 19.74   0.22 LOAO 1.0m         Y
Jun 10.1797 58279.180 120.02 V 19.41   0.16 LOAO 1.0m         Y
Jun 11.1572 58280.157 121.00 V 19.78   0.28 LOAO 1.0m         Y
Jun 12.1534 58281.153 121.99 V 19.64   0.26 LOAO 1.0m         Y
Jun 12.1561 58281.156 122.00 R 19.60   0.15 LOAO 1.0m         Y
Jun 14.4222 58283.422 124.26 r 19.51   0.15 LSGT 0.43m        Y
